,category,total_papers
1,cs.LG,258190
2,cs.CV,185665
3,cs.AI,168181
4,cs.CL,104601
5,cs.IT,53521
6,cs.RO,50916
7,cs.CR,46546
8,cs.HC,29041
9,cs.DS,28222
10,cs.DC,27724
11,cs.CY,27354
12,cs.NI,26796
13,cs.SE,25302
14,cs.IR,24351
15,cs.SI,23069
16,cs.SD,20214
17,cs.LO,18901
18,cs.NE,17322
19,cs.DM,15372
20,cs.GT,14333
21,cs.CC,12592
22,cs.MA,11553
23,cs.DB,11369
24,cs.CE,10072
25,cs.PL,9537
26,cs.MM,9230
27,cs.CG,7907
28,cs.AR,7791
29,cs.ET,6962
30,cs.DL,5870
31,cs.FL,5866
32,cs.PF,5068
33,cs.SC,3061
34,cs.MS,2580
35,cs.OH,2306
36,cs.OS,1283
37,cs.GL,229
