Task,Representation,Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
Discipline,TF-IDF word unigrams,Logistic Regression,1,0.575,0.478,0.514,0.562,0.555,0.543
Discipline,TF-IDF word n-grams (1-2),Logistic Regression,1,0.577,0.475,0.512,0.563,0.553,0.541
Discipline,TF-IDF word n-grams (1-2),Logistic Regression,1,0.577,0.475,0.512,0.563,0.553,0.541
Discipline,TF-IDF word n-grams (1-3),Logistic Regression,1,0.577,0.475,0.512,0.563,0.554,0.542
Discipline,TF-IDF character n-grams,Logistic Regression,1,0.547,0.446,0.484,0.53,0.521,0.51
Discipline,Word2Vec document embeddings,Logistic Regression,0,0.504,0.428,0.453,0.499,0.499,0.486
Field,TF-IDF word unigrams,Logistic Regression,1,0.5,0.509,0.5,0.502,0.509,0.501
Field,TF-IDF word n-grams (1-3),Logistic Regression,1,0.498,0.506,0.498,0.5,0.506,0.499
Field,TF-IDF word n-grams (1-2),Logistic Regression,1,0.495,0.504,0.495,0.497,0.504,0.496
Field,TF-IDF word n-grams (1-2),Logistic Regression,1,0.495,0.504,0.495,0.497,0.504,0.496
Field,TF-IDF character n-grams,Logistic Regression,0,0.46,0.467,0.46,0.462,0.468,0.461
Field,Word2Vec document embeddings,Logistic Regression,0,0.432,0.437,0.432,0.434,0.438,0.434
